./12 Rules for Life [B0797YRW4L]/12 Rules for Life꞉ An Antidote to Chaos [B0797YRW4L].mp3.original
-48.00	0.00	25
54015.859375	54024.558594	870
14.130000	21.809999	768
9689.879883	9696.469727	659
25712.029297	25718.490234	646
18554.800781	18561.089844	629
3519.209961	3524.719971	551
17055.919922	17061.060547	514
4631.220215	4636.229980	500
32530.050781	32535.009766	496
50113.218750	50118.109375	489
53684.031250	53688.859375	483
51970.968750	51975.781250	481
42944.441406	42949.191406	475
56434.648438	56439.398438	475
52700.488281	52705.199219	471
53019.789062	53024.308594	452
21124.330078	21128.640625	431
20231.859375	20236.169922	430
50771.589844	50775.871094	428
10661.089844	10665.349609	426
30576.740234	30581.000000	426
13059.360352	13063.599609	424
38989.679688	38993.921875	424
9121.200195	9125.429688	422
1433.489990	1437.699951	421
5538.160156	5542.370117	421
21808.369141	21812.550781	418
56403.171875	56407.351562	418
34952.039062	34956.191406	415
47369.140625	47373.289062	415
35302.941406	35307.070312	413
36737.429688	36741.558594	413
23618.820312	23622.919922	410
45696.359375	45700.460938	410
48626.328125	48630.300781	397
14406.129883	14409.919922	379
39164.781250	39168.539062	376
29109.679688	29113.410156	373
43498.761719	43502.488281	373
49788.468750	49792.199219	373
51560.429688	51564.121094	369
19511.820312	19515.500000	368
32456.039062	32459.720703	368
14024.150391	14027.750000	360
44429.058594	44432.660156	360
23406.470703	23410.050781	358
44419.390625	44422.968750	358
35197.621094	35201.171875	354
36159.390625	36162.871094	348
30148.230469	30151.699219	347
17302.849609	17306.300781	345
45214.789062	45218.238281	345
21441.560547	21444.980469	342
39304.621094	39308.039062	341
14155.750000	14159.150391	340
55889.781250	55893.179688	340
33556.160156	33559.558594	339
51504.558594	51507.949219	339
3053.270020	3056.639893	337
52523.851562	52527.199219	335
42420.109375	42423.449219	334
8187.189941	8190.509766	332
33787.078125	33790.398438	332
9404.389648	9407.709961	331
40925.699219	40929.011719	331
48817.839844	48821.148438	331
29842.279297	29845.570312	329
32038.839844	32042.130859	329
21355.880859	21359.150391	327
53626.480469	53629.750000	327
11634.700195	11637.959961	326
1885.880005	1889.119995	324
31475.009766	31478.250000	324
18953.759766	18956.949219	319
51918.148438	51921.339844	319
48329.949219	48333.128906	318
53657.781250	53660.960938	318
45691.968750	45695.128906	316
43801.230469	43804.359375	313
9038.830078	9041.940430	311
22925.529297	22928.640625	311
42953.691406	42956.800781	311
53928.148438	53931.250000	310
12744.559570	12747.650391	309
18102.640625	18105.730469	309
36138.210938	36141.289062	308
37753.800781	37756.890625	308
39486.769531	39489.851562	308
51691.488281	51694.570312	308
28034.660156	28037.720703	306
47990.121094	47993.179688	306
1565.099976	1568.150024	305
29068.949219	29071.980469	303
26461.380859	26464.390625	301
13512.719727	13515.719727	300
7302.160156	7305.140137	298
44224.519531	44227.500000	298
46456.839844	46459.820312	298
50060.269531	50063.250000	298
48042.570312	48045.531250	296
34280.300781	34283.250000	294
17066.050781	17068.980469	293
30895.689453	30898.589844	290
40372.968750	40375.871094	290
121.410004	124.290001	288
9155.230469	9158.110352	288
14599.000000	14601.870117	287
29951.710938	29954.580078	287
36239.019531	36241.890625	287
19482.720703	19485.570312	285
27364.359375	27367.199219	284
29059.630859	29062.470703	284
39943.000000	39945.839844	283
22200.000000	22202.820312	282
34632.121094	34634.941406	281
11345.599609	11348.400391	280
25386.259766	25389.060547	280
47103.761719	47106.558594	280
33560.289062	33563.078125	279
40285.570312	40288.359375	279
47582.269531	47585.039062	277
9400.650391	9403.400391	275
46532.039062	46534.789062	275
11880.150391	11882.889648	274
38950.191406	38952.929688	274
49975.351562	49978.089844	274
21818.609375	21821.330078	272
37758.949219	37761.671875	272
15319.169922	15321.879883	271
31181.060547	31183.769531	271
13588.759766	13591.450195	269
13946.250000	13948.940430	269
17427.199219	17429.890625	269
22684.699219	22687.390625	269
52632.679688	52635.371094	269
53663.109375	53665.800781	269
9719.110352	9721.799805	268
30259.269531	30261.939453	267
52179.898438	52182.558594	266
5004.189941	5006.830078	264
44400.238281	44402.878906	264
44452.019531	44454.660156	264
52838.808594	52841.449219	264
19393.750000	19396.380859	263
26750.849609	26753.480469	263
11741.700195	11744.309570	261
52545.539062	52548.148438	261
53923.210938	53925.820312	261
55301.269531	55303.878906	261
938.179993	940.770020	259
43797.699219	43800.289062	259
53287.230469	53289.820312	259
55738.769531	55741.359375	259
39834.609375	39837.199219	258
54028.121094	54030.699219	258
2610.310059	2612.870117	256
4364.120117	4366.680176	256
6871.819824	6874.379883	256
15408.059570	15410.620117	256
52586.968750	52589.531250	256
18866.539062	18869.099609	255
12880.450195	12882.990234	254
22775.060547	22777.599609	254
23068.230469	23070.769531	254
34351.851562	34354.390625	254
38982.601562	38985.140625	254
43333.921875	43336.460938	254
646.919983	649.450012	253
2246.629883	2249.159912	253
27647.759766	27650.289062	253
41030.550781	41033.089844	253
3859.219971	3861.729980	251
6115.390137	6117.899902	251
8352.799805	8355.309570	251
11168.959961	11171.469727	251
16031.730469	16034.240234	251
24930.839844	24933.349609	251
29880.210938	29882.720703	251
38580.890625	38583.398438	251
44561.601562	44564.109375	251
47046.289062	47048.800781	251
52914.359375	52916.871094	251
2370.010010	2372.510010	250
11691.910156	11694.410156	250
17987.810547	17990.320312	250
36368.011719	36370.519531	250
40113.160156	40115.671875	250
46317.531250	46320.031250	250
20552.689453	20555.179688	249
44726.558594	44729.050781	249
8627.929688	8630.410156	248
10930.570312	10933.049805	248
11393.200195	11395.679688	248
11949.660156	11952.139648	248
17656.839844	17659.320312	248
20517.349609	20519.830078	248
24039.810547	24042.289062	248
28407.820312	28410.300781	248
30586.460938	30588.939453	248
32369.259766	32371.740234	248
36876.511719	36878.988281	248
37333.519531	37336.000000	248
41897.578125	41900.058594	248
48204.300781	48206.781250	248
48408.449219	48410.929688	248
2881.639893	2884.100098	246
6637.680176	6640.140137	246
13038.150391	13040.610352	246
13370.900391	13373.360352	246
14892.059570	14894.519531	246
16578.320312	16580.779297	246
21632.699219	21635.160156	246
22309.349609	22311.810547	246
27964.359375	27966.820312	246
40309.281250	40311.738281	246
42226.671875	42229.128906	246
50505.031250	50507.488281	246
51183.640625	51186.101562	246
51674.738281	51677.199219	246
51731.558594	51734.019531	246
53536.281250	53538.738281	246
14771.639648	14774.089844	245
17069.890625	17072.349609	245
23321.439453	23323.890625	245
29343.369141	29345.820312	245
35981.550781	35984.011719	245
43706.539062	43708.988281	245
44950.878906	44953.328125	245
53608.621094	53611.070312	245
10090.679688	10093.129883	244
7631.770020	7634.200195	243
14739.980469	14742.410156	243
31158.039062	31160.470703	243
35245.238281	35247.671875	243
36364.089844	36366.519531	243
37343.968750	37346.398438	243
42890.128906	42892.558594	243
49024.410156	49026.839844	243
50780.808594	50783.238281	243
407.239990	409.649994	241
14168.940430	14171.349609	241
40326.000000	40328.410156	241
42050.289062	42052.699219	241
42744.050781	42746.460938	241
5775.379883	5777.779785	240
12013.450195	12015.849609	240
20593.550781	20595.949219	240
21565.750000	21568.150391	240
28469.859375	28472.259766	240
34251.308594	34253.710938	240
40295.808594	40298.210938	240
46423.039062	46425.441406	240
48708.878906	48711.281250	240
34967.691406	34970.089844	239
15570.959961	15573.339844	238
16283.110352	16285.490234	238
20365.679688	20368.060547	238
29796.720703	29799.099609	238
39401.531250	39403.910156	238
40083.531250	40085.910156	238
49309.378906	49311.761719	238
1166.489990	1168.869995	237
5862.660156	5865.029785	237
16913.839844	16916.210938	237
34776.710938	34779.078125	237
40705.480469	40707.859375	237
46180.359375	46182.730469	237
49989.980469	49992.351562	237
18907.140625	18909.509766	236
26817.140625	26819.500000	236
52156.488281	52158.851562	236
7039.209961	7041.560059	235
19808.179688	19810.529297	235
28373.519531	28375.869141	235
31589.820312	31592.169922	235
32182.250000	32184.599609	235
32256.019531	32258.369141	235
39100.679688	39103.031250	235
43015.488281	43017.839844	235
50127.640625	50129.988281	235
52706.289062	52708.640625	235
55998.820312	56001.171875	235
56346.378906	56348.730469	235
23635.060547	23637.390625	233
51019.851562	51022.179688	233
52028.050781	52030.378906	233
53277.328125	53279.660156	233
54993.730469	54996.058594	233
43863.640625	43865.960938	232
37301.808594	37304.128906	231
13492.400391	13494.700195	230
17026.009766	17028.310547	230
23628.509766	23630.810547	230
31526.369141	31528.669922	230
32376.080078	32378.380859	230
43049.398438	43051.699219	230
43586.628906	43588.929688	230
45369.988281	45372.289062	230
48130.421875	48132.718750	230
50765.660156	50767.960938	230
51548.000000	51550.300781	230
54110.871094	54113.171875	230
56324.230469	56326.531250	230
15911.339844	15913.629883	229
7362.029785	7364.310059	228
13447.620117	13449.900391	228
36431.898438	36434.179688	228
52098.078125	52100.359375	228
19820.980469	19823.250000	227
26031.960938	26034.230469	227
33165.890625	33168.160156	227
33541.558594	33543.828125	227
33551.671875	33553.941406	227
35296.960938	35299.230469	227
40735.710938	40737.980469	227
42834.519531	42836.789062	227
46112.941406	46115.210938	227
51148.300781	51150.570312	227
56141.238281	56143.511719	227
37198.570312	37200.839844	226
836.169983	838.419983	225
19494.210938	19496.460938	225
26124.009766	26126.259766	225
30379.720703	30381.970703	225
34401.589844	34403.839844	225
39297.171875	39299.421875	225
42917.921875	42920.171875	225
47919.929688	47922.179688	225
51512.519531	51514.769531	225
51810.058594	51812.308594	225
19433.220703	19435.460938	224
21584.300781	21586.539062	224
34468.570312	34470.808594	224
54114.609375	54116.851562	224
55416.578125	55418.820312	224
1757.410034	1759.630005	222
13358.440430	13360.660156	222
14876.519531	14878.740234	222
18150.210938	18152.429688	222
24317.359375	24319.580078	222
31628.400391	31630.619141	222
33473.250000	33475.468750	222
35740.601562	35742.820312	222
41745.890625	41748.109375	222
42665.089844	42667.308594	222
53323.179688	53325.398438	222
54668.511719	54670.730469	222
54785.410156	54787.628906	222
34073.410156	34075.628906	221
34507.121094	34509.339844	221
14341.740234	14343.940430	220
22967.839844	22970.039062	220
27288.519531	27290.720703	220
29990.080078	29992.279297	220
51421.851562	51424.050781	220
6957.660156	6959.850098	219
14937.179688	14939.370117	219
15265.589844	15267.780273	219
24365.269531	24367.460938	219
25987.029297	25989.220703	219
31326.849609	31329.039062	219
33187.910156	33190.109375	219
42940.261719	42942.449219	219
5133.580078	5135.750000	217
7022.830078	7025.000000	217
8692.709961	8694.879883	217
14181.400391	14183.570312	217
19479.820312	19481.990234	217
22351.800781	22353.970703	217
23220.869141	23223.039062	217
28236.380859	28238.550781	217
30976.960938	30979.130859	217
30995.140625	30997.310547	217
31921.759766	31923.929688	217
31930.460938	31932.630859	217
43850.730469	43852.898438	217
48873.480469	48875.648438	217
49379.890625	49382.058594	217
54946.449219	54948.621094	217
14159.959961	14162.120117	216
46015.789062	46017.949219	216
24867.230469	24869.380859	215
27713.009766	27715.160156	215
33027.699219	33029.851562	215
41457.179688	41459.328125	215
494.230011	496.369995	214
14345.429688	14347.570312	214
27746.660156	27748.800781	214
41213.019531	41215.160156	214
42671.039062	42673.179688	214
48515.390625	48517.531250	214
50677.648438	50679.789062	214
51236.230469	51238.371094	214
